student_id,q1,q2,q3
202023627,0.00,0.00,0.00,0.00
231011972,0.00,0.00,0.00,0.00
231012281,2.50,3.50,4.50,10.00
232014271,2.50,3.50,4.50,10.00
232024492,2.50,3.50,0.00,6.00
241025336,2.50,2.10,4.50,9.10
241025480,2.50,3.50,4.50,10.00
241025523,2.50,3.50,4.50,10.00
,,,,
media,1.88,2.45,2.81,6.89
